No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter 
35,3.666744,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 30#1] 49478  >  80 [ACK] Seq=441 Ack=16729 Win=260 Len=0 SLE=18089 SRE=19449,,,,,,,,,,,,,,,,,,,
36,3.669446,202.70.54.17,172.20.10.7,TCP,1414,[TCP Out-Of-Order] 80  >  49478 [ACK] Seq=16729 Ack=441 Win=952 Len=1360,,,,,,,,,,,,,,,,,,,
37,3.669534,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=441 Ack=19449 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
38,3.672427,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,,,,,
39,3.67635,202.70.54.17,172.20.10.7,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,,,,,
40,3.67648,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=441 Ack=20809 Win=260 Len=0 SLE=22169 SRE=23529,,,,,,,,,,,,,,,,,,,
41,3.679362,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,,,,,
42,3.679421,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 40#1] 49478  >  80 [ACK] Seq=441 Ack=20809 Win=260 Len=0 SLE=22169 SRE=24889,,,,,,,,,,,,,,,,,,,
43,3.682131,202.70.54.17,172.20.10.7,TCP,1414,[TCP Out-Of-Order] 80  >  49478 [ACK] Seq=20809 Ack=441 Win=952 Len=1360,,,,,,,,,,,,,,,,,,,
44,3.682204,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=441 Ack=24889 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
45,3.696646,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,,,,,
46,3.701583,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,,,,,
47,3.7017,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=441 Ack=27609 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
48,3.706477,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,,,,,
49,3.709476,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,,,,,
50,3.709584,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=441 Ack=30329 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
51,3.714268,202.70.54.17,172.20.10.7,HTTP,1067,Continuation,,,,,,,,,,,,,,,,,,,
52,3.806554,172.20.10.7,74.125.130.138,TCP,54,49477  >  80 [ACK] Seq=314 Ack=1033 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
53,3.91255,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=441 Ack=31342 Win=256 Len=0,,,,,,,,,,,,,,,,,,,
55,4.519999,172.20.10.7,74.125.130.138,HTTP,367,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
56,4.584469,74.125.130.138,172.20.10.7,HTTP,1086,HTTP/1.1 302 Found  (text/html),,,,,,,,,,,,,,,,,,,
57,4.585916,172.20.10.7,202.70.54.17,HTTP,494,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g?cms_redirect=yes&mh=87&mip=115.178.212.69&mm=28&mn=sn-nh5gu-jb3z&ms=nvh&mt=1601831052&mv=m&mvi=6&pl=24&shardbypass=yes HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
58,4.639587,202.70.54.17,172.20.10.7,TCP,1414,[TCP Previous segment not captured] 80  >  49478 [ACK] Seq=32702 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
59,4.639715,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 53#1] 49478  >  80 [ACK] Seq=881 Ack=31342 Win=256 Len=0 SLE=32702 SRE=34062,,,,,,,,,,,,,,,,,,,
60,4.641317,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=34062 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
61,4.641427,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 53#2] 49478  >  80 [ACK] Seq=881 Ack=31342 Win=256 Len=0 SLE=32702 SRE=35422,,,,,,,,,,,,,,,,,,,
62,4.649362,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=35422 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
63,4.649473,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 53#3] 49478  >  80 [ACK] Seq=881 Ack=31342 Win=256 Len=0 SLE=32702 SRE=36782,,,,,,,,,,,,,,,,,,,
64,4.649755,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=36782 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
65,4.649804,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 53#4] 49478  >  80 [ACK] Seq=881 Ack=31342 Win=256 Len=0 SLE=32702 SRE=38142,,,,,,,,,,,,,,,,,,,
66,4.654301,202.70.54.17,172.20.10.7,TCP,1414,[TCP Fast Retransmission] 80  >  49478 [ACK] Seq=31342 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
67,4.654452,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=881 Ack=38142 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
68,4.668707,202.70.54.17,172.20.10.7,TCP,1414,[TCP Previous segment not captured] 80  >  49478 [ACK] Seq=39502 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
69,4.668707,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=40862 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
70,4.668867,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 67#1] 49478  >  80 [ACK] Seq=881 Ack=38142 Win=260 Len=0 SLE=39502 SRE=40862,,,,,,,,,,,,,,,,,,,
71,4.669029,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 67#2] 49478  >  80 [ACK] Seq=881 Ack=38142 Win=260 Len=0 SLE=39502 SRE=42222,,,,,,,,,,,,,,,,,,,
72,4.671885,202.70.54.17,172.20.10.7,TCP,1414,[TCP Fast Retransmission] 80  >  49478 [ACK] Seq=38142 Ack=881 Win=956 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
73,4.672024,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=881 Ack=42222 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
74,4.673255,202.70.54.17,172.20.10.7,TCP,444,"80  >  49478 [PSH, ACK] Seq=42222 Ack=881 Win=956 Len=390 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,,
75,4.784589,172.20.10.7,74.125.130.138,TCP,54,49477  >  80 [ACK] Seq=627 Ack=2065 Win=256 Len=0,,,,,,,,,,,,,,,,,,,
76,4.882594,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=881 Ack=42612 Win=258 Len=0,,,,,,,,,,,,,,,,,,,
77,5.515982,172.20.10.7,74.125.130.138,HTTP,367,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
78,5.596256,74.125.130.138,172.20.10.7,HTTP,1086,HTTP/1.1 302 Found  (text/html),,,,,,,,,,,,,,,,,,,
79,5.60187,172.20.10.7,202.70.54.17,HTTP,494,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g?cms_redirect=yes&mh=87&mip=115.178.212.69&mm=28&mn=sn-nh5gu-jb3z&ms=nvh&mt=1601831113&mv=m&mvi=6&pl=24&shardbypass=yes HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
80,5.664376,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=42612 Ack=1321 Win=960 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
81,5.66902,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=43972 Ack=1321 Win=960 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
82,5.6691,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=1321 Ack=45332 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
83,5.680363,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=45332 Ack=1321 Win=960 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
84,5.689385,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=46692 Ack=1321 Win=960 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
85,5.689514,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=1321 Ack=48052 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
86,5.696232,202.70.54.17,172.20.10.7,TCP,1414,[TCP Previous segment not captured] 80  >  49478 [ACK] Seq=49412 Ack=1321 Win=960 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
87,5.696351,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 85#1] 49478  >  80 [ACK] Seq=1321 Ack=48052 Win=260 Len=0 SLE=49412 SRE=50772,,,,,,,,,,,,,,,,,,,
88,5.699245,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=48052 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
89,5.699245,202.70.54.17,172.20.10.7,TCP,454,"[TCP Previous segment not captured] 80  >  49478 [PSH, ACK] Seq=65732 Ack=1321 Win=960 Len=400 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,,
90,5.69939,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=1321 Ack=50772 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
91,5.699561,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 90#1] 49478  >  80 [ACK] Seq=1321 Ack=50772 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
92,5.795627,172.20.10.7,74.125.130.138,TCP,54,49477  >  80 [ACK] Seq=940 Ack=3097 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
93,6.331688,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=50772 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
94,6.331821,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=52132 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
95,6.391691,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=52132 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
96,6.391814,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=53492 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
97,6.394693,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=53492 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
98,6.394814,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=54852 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
99,6.398441,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=54852 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
100,6.398567,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=56212 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
101,7.555263,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=56212 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
102,7.555392,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=57572 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
103,7.595957,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=57572 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
104,7.59608,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=58932 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
105,7.60599,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=58932 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
106,7.606116,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=60292 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
107,7.608955,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=60292 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
108,7.609079,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=61652 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
109,7.61098,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=61652 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
110,7.611036,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1321 Ack=63012 Win=260 Len=0 SLE=65732 SRE=66132,,,,,,,,,,,,,,,,,,,
111,7.668365,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=64372 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
112,7.668365,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=63012 Ack=1321 Win=960 Len=1360,,,,,,,,,,,,,,,,,,,
113,7.668499,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 110#1] 49478  >  80 [ACK] Seq=1321 Ack=63012 Win=260 Len=0 SLE=64372 SRE=66132,,,,,,,,,,,,,,,,,,,
114,7.668702,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=1321 Ack=66132 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
115,7.676001,172.20.10.7,74.125.130.138,HTTP,367,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
116,7.738116,74.125.130.138,172.20.10.7,HTTP,1086,HTTP/1.1 302 Found  (text/html),,,,,,,,,,,,,,,,,,,
117,7.741374,172.20.10.7,202.70.54.17,HTTP,494,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g?cms_redirect=yes&mh=87&mip=115.178.212.69&mm=28&mn=sn-nh5gu-jb3z&ms=nvh&mt=1601831052&mv=m&mvi=6&pl=24&shardbypass=yes HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
118,7.807246,202.70.54.17,172.20.10.7,TCP,1414,80  >  49478 [ACK] Seq=66132 Ack=1761 Win=964 Len=1360 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
119,7.936703,172.20.10.7,74.125.130.138,TCP,54,49477  >  80 [ACK] Seq=1253 Ack=4129 Win=256 Len=0,,,,,,,,,,,,,,,,,,,
120,8.000309,202.70.54.17,172.20.10.7,TCP,1158,"[TCP Previous segment not captured] 80  >  49478 [PSH, ACK] Seq=82452 Ack=1761 Win=964 Len=1104 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,,
121,8.000432,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=67492 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
122,8.079301,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=67492 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
123,8.079425,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=68852 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
124,8.700246,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=68852 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
125,8.700374,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=70212 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
126,8.752795,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=70212 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
127,8.752918,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=71572 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
128,8.758458,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=72932 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
129,8.758577,172.20.10.7,202.70.54.17,TCP,74,[TCP Dup ACK 127#1] 49478  >  80 [ACK] Seq=1761 Ack=71572 Win=260 Len=0 SLE=72932 SRE=74292 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
130,8.758945,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=71572 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
131,8.759007,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=74292 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
132,9.78253,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=74292 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
133,9.782661,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=75652 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
134,9.856297,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=75652 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
135,9.856422,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=77012 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
136,9.86509,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=77012 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
137,9.865172,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1761 Ack=78372 Win=260 Len=0 SLE=82452 SRE=83556,,,,,,,,,,,,,,,,,,,
138,9.868159,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=78372 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
139,9.868159,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=79732 Ack=1761 Win=964 Len=1360,,,,,,,,,,,,,,,,,,,
